#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,H,H,0,0,H
H,0,0,0,1,0,0,H,H,H,H,H,H,H,H,H,0,0,0,H,H,H,H,H,H,H,H,H,H,H,H,H,0,0,0,0,H,0,J,H
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,H
H,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H
H,0,0,0,0,0,0,0,0,J,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J,0,H
H,J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,J,0,0,0,0,0,0,0,0,0,0,0,0,H
H,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,J,0,0,0,0,0,0,0,0,0,J,0,0,0,0,0,0,H
H,0,0,0,0,0,0,0,0,J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J,0,0,0,0,0,0,0,0,0,H
H,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H
H,0,0,0,0,0,0,1,0,0,H,H,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J,0,0,0,H
H,0,0,0,0,0,0,J,0,0,H,H,H,0,0,0,0,0,0,0,0,0,J,0,0,0,0,0,H,H,H,H,0,0,0,0,0,0,0,H
H,0,0,0,0,2,0,0,0,0,H,H,H,0,0,0,0,J,0,0,0,0,0,0,0,0,J,0,0,0,0,0,0,0,0,0,0,0,0,H
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,H,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,H
H,0,0,0,J,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,H,H,0,0,0,0,0,0,0,0,0,J,0,0,0,0,0,0,H
H,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,H,H,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,H
H,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,J,0,0,0,H,H,0,0,0,0,0,0,0,0,0,0,0,0,J,0,0,0,H
H,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,H,H,0,0,0,0,0,0,0,0,0,J,0,0,J,0,0,0,H
H,0,0,0,0,0,0,0,J,0,H,H,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,H
H,0,0,0,0,0,0,0,0,0,H,0,J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H
H,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J,0,0,0,0,0,0,0,0,0,0,0,0,H
H,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H
H,0,0,0,J,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,H,0,H,0,0,0,0,0,H
H,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,H,0,0,0,0,0,0,H,J,H,0,0,0,0,0,H
H,0,0,0,0,0,0,0,H,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,H,H,H,0,0,0,0,0,H
H,0,0,0,0,0,0,0,H,0,J,0,0,0,H,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H
H,0,0,0,0,H,0,0,H,0,0,0,0,H,0,0,0,0,0,J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H
H,0,J,0,0,H,0,0,H,0,0,0,H,0,0,0,0,J,0,0,0,0,0,0,0,0,0,J,0,0,0,0,0,0,0,0,0,0,0,H
H,0,0,0,0,H,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H
H,0,0,0,0,H,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J,0,0,0,J,H
H,0,0,0,0,H,0,0,H,0,0,0,J,0,0,0,0,0,0,0,0,0,0,0,0,H,H,H,0,0,0,0,0,0,0,0,0,0,0,H
H,0,0,0,J,H,0,0,H,0,0,0,0,0,J,0,0,0,0,0,0,0,0,0,0,H,H,H,0,0,0,0,0,0,0,0,0,0,0,H
H,0,0,0,0,H,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,J,0,0,0,H,H,H,0,0,0,0,0,0,0,H,H,H,0,H
H,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,H
H,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,H,H,0,H
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,H,H,0,0,0,0,0,0,0,J,0,0,0,0,J,0,0,0,0,H
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J,H
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
