#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
M,0,0,0,0,0,0,0,0,0,M,M,M,0,0,0,0,0,0,0,0,0,0,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,M
M,0,0,0,1,0,0,0,0,0,M,M,M,0,0,0,1,0,0,0,0,0,0,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,M
M,0,0,0,0,0,0,1,0,0,M,M,M,0,0,0,0,0,0,0,0,L,0,M,M,M,0,0,0,0,0,0,0,L,0,0,2,0,0,M
M,0,0,0,0,0,0,0,0,0,M,M,M,0,0,0,0,0,0,0,0,0,0,0,M,M,0,0,0,0,M,M,0,0,0,0,0,0,0,M
M,0,0,0,0,M,M,0,0,0,M,M,M,0,0,0,K,K,K,K,K,K,0,0,M,M,0,0,0,0,M,M,0,0,0,0,0,0,0,M
M,0,0,0,0,M,M,0,0,0,M,M,M,0,K,K,K,K,K,K,0,K,K,0,0,0,0,0,0,0,M,M,0,0,2,0,0,0,0,M
M,0,0,0,0,M,M,0,0,0,M,M,0,0,0,0,K,K,0,K,K,K,K,0,0,0,0,0,0,0,M,M,0,0,0,0,0,0,0,M
M,0,0,0,0,M,M,0,0,0,M,M,0,0,0,0,0,K,K,K,K,K,0,0,0,0,0,0,0,0,M,M,0,0,M,0,0,0,0,M
M,0,0,0,0,M,0,0,0,0,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,M,M,0,0,M,0,0,0,0,M
M,0,0,0,0,M,0,K,K,K,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,M,0,0,M,0,0,0,0,M
M,0,0,0,0,M,0,K,K,K,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,M,M,0,0,0,M
M,0,0,0,0,M,0,K,K,K,K,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,L,0,0,0,0,0,0,0,M,M,0,0,0,M
M,0,0,0,0,M,0,K,K,K,K,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M,M,0,0,0,M
M,0,0,0,0,M,M,K,K,K,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,M,0,0,0,M
M,0,0,0,0,M,M,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,M,0,0,0,M
M,M,M,0,0,0,0,0,0,0,0,1,0,0,0,0,M,M,M,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,M,M,0,0,0,M
M,M,M,0,0,0,0,0,0,0,0,0,0,L,0,0,M,0,M,M,0,L,0,0,0,0,K,0,0,0,0,0,0,0,M,M,0,0,0,M
M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,M,0,0,0,0,0,K,K,0,0,0,0,0,0,0,M,M,0,0,0,M
M,M,M,0,0,0,0,0,0,0,0,0,0,M,M,M,0,0,0,M,M,M,M,0,0,K,K,K,0,0,0,0,0,0,0,M,0,0,0,M
M,M,M,0,0,0,0,0,0,0,M,M,M,M,M,0,0,0,0,0,0,M,M,M,K,K,K,K,K,K,0,0,0,0,0,M,0,0,0,M
M,M,M,0,0,0,L,0,0,0,0,M,M,0,0,0,0,0,0,0,0,0,0,M,K,K,K,0,K,K,0,0,0,0,0,0,0,0,0,M
M,M,M,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,M,K,K,K,K,K,K,0,0,0,L,0,0,0,0,0,M
M,0,0,0,0,0,0,0,0,0,0,0,M,M,M,0,0,0,0,0,0,M,M,M,K,K,K,K,K,0,0,1,0,0,0,1,0,0,0,M
M,0,0,0,0,0,0,0,0,0,0,0,0,M,M,0,0,0,0,0,0,M,0,M,K,0,K,K,K,0,0,0,0,0,0,0,0,0,0,M
M,0,0,0,0,0,0,0,0,0,0,0,0,0,M,M,M,0,0,M,M,0,0,M,K,K,K,K,K,0,0,0,0,2,0,0,0,0,0,M
M,0,0,M,M,M,M,0,0,0,0,0,0,0,0,M,M,M,0,M,0,L,0,M,K,K,K,0,K,0,0,0,0,0,0,0,0,0,0,M
M,0,0,M,M,M,M,0,0,0,2,0,0,0,0,0,M,M,M,M,0,0,0,M,K,K,K,K,K,M,M,M,M,M,M,0,0,M,M,M
M,0,0,M,M,M,M,0,0,0,0,0,0,0,0,0,0,M,M,M,0,0,0,M,K,K,K,K,0,M,M,M,M,M,M,M,M,M,M,M
M,0,0,M,M,M,M,0,0,0,0,0,0,0,1,0,0,0,M,M,0,0,0,M,K,K,K,0,0,M,M,0,0,0,0,M,M,M,M,M
M,0,0,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,M,K,K,0,0,0,0,0,0,0,0,0,0,0,0,0,M
M,0,0,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
M,0,0,M,M,M,0,0,0,0,0,0,0,K,K,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,L,0,0,M
M,0,0,M,M,M,0,0,0,0,0,0,K,K,K,K,0,0,0,0,0,0,0,M,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,M
M,0,0,0,0,0,0,0,0,0,0,0,K,K,K,K,0,2,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
M,0,0,0,0,0,0,0,0,0,0,0,0,K,K,K,0,0,0,0,0,0,0,M,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,M
M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,L,0,0,0,0,0,0,M
M,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,L,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,M
M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
